Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
2029,10/1/2021,0,0,9.4,15.4,4.5,10.1,0
2029,10/2/2021,0,0,10.8,17.2,6.1,11.8,0
2029,10/3/2021,0,0,12.1,18.6,9.2,13.8,0
2029,10/4/2021,0,0,13.7,21.1,11.2,16,0
2029,10/5/2021,0,0,17.8,24.6,11.9,18.3,0
2029,10/6/2021,0,0,14.8,21.9,14.6,17.8,0
2029,10/7/2021,0,0.1,7.1,15.9,6.2,11.1,0
2029,10/8/2021,0,0.2,8.4,12.8,4.4,8.3,0
2029,10/9/2021,0,0.4,4.7,9.3,4.3,6.9,0
2029,10/10/2021,0,0.4,6.6,9.5,2,5.9,0
2029,10/11/2021,0,0.5,-1.4,12.2,-1.4,6.5,0
2029,10/12/2021,0,0.5,-2.3,2.5,-2.6,-1.1,0
2029,10/13/2021,0,0.5,-0.2,4.1,-3.4,-0.1,0
2029,10/14/2021,0,0.5,-0.8,3.7,-2.2,0.2,0
2029,10/15/2021,0,0.5,1.5,7.1,-1.9,2.3,0
2029,10/16/2021,0,0.5,7.5,13,2.4,7.7,0
2029,10/17/2021,0,0.5,7.5,14.9,3.8,9.8,0
2029,10/18/2021,0,0.5,10.8,17.8,4.3,11.3,0
2029,10/19/2021,0,0.5,7.2,11.3,6,8.8,0
2029,10/20/2021,0,0.5,8.6,13.4,4.2,8.5,0
2029,10/21/2021,0,0.5,9.3,13.9,3.5,9.1,0
2029,10/22/2021,0,0.5,13.3,19,5.1,12.5,0
2029,10/23/2021,0,0.8,3.5,15.5,2.8,9,0
2029,10/24/2021,0,0.9,3.1,6.3,2.1,3.7,0
2029,10/25/2021,0.1,1.6,4.4,7.5,2.2,4.7,1
2029,10/26/2021,0,1.6,2.2,5.9,1.7,3.1,0
2029,10/27/2021,0,1.6,4.4,4.8,0.6,2.8,0
2029,10/28/2021,0,1.6,8.7,10.4,3.8,7.2,0
2029,10/29/2021,0,1.6,9.6,16.1,7.7,11.1,0
2029,10/30/2021,0,1.7,5.9,16.4,5.6,10.9,0
2029,10/31/2021,0,1.7,5,10,3.9,6.9,0
2029,11/1/2021,0,1.7,2.7,11.5,2.7,6.5,0
2029,11/2/2021,0,1.9,5.2,8.4,3.4,5.6,0
2029,11/3/2021,0,1.9,5.7,9.5,3.5,6,0
2029,11/4/2021,0,1.9,6.3,11.4,4.4,7.6,0
2029,11/5/2021,0,1.9,3.5,12.7,3.5,7.6,0
2029,11/6/2021,0,1.9,6.3,12.2,1.8,6.8,0
2029,11/7/2021,0,2,0.1,7.4,0.1,3.8,0
2029,11/8/2021,0,2,-3.3,3.7,-3.4,-0.6,0
2029,11/9/2021,0,2,0,3.5,-3.6,-0.2,0
2029,11/10/2021,0,2.5,0.8,6.6,-0.9,3.5,0
2029,11/11/2021,0,2.5,4.3,5,-0.6,2,0
2029,11/12/2021,0,2.7,7.9,8.1,3.8,6.2,0
2029,11/13/2021,0,2.7,8.8,14.6,7.8,10.8,0
2029,11/14/2021,0,2.7,10.3,12.2,5,9,0
2029,11/15/2021,0,2.7,11.8,13.6,10,11.8,0
2029,11/16/2021,0,2.7,5.8,13,5.8,11.4,0
2029,11/17/2021,0,2.7,-5.5,5.2,-5.6,-1.6,0
2029,11/18/2021,0,2.7,-3.6,-0.4,-7.3,-3.7,0
2029,11/19/2021,0.2,2.9,2.3,6.6,-4.8,0.7,1
2029,11/20/2021,0,3.1,0,8,-0.2,3.7,0
2029,11/21/2021,0,3.1,-0.5,3.8,-2,-0.1,0
2029,11/22/2021,0,3.1,-1.2,4.3,-3.2,0.5,0
2029,11/23/2021,0,3.1,4.2,6.7,-1.6,2.3,0
2029,11/24/2021,0.1,3.2,-4.5,4.2,-4.5,0,1
2029,11/25/2021,0.1,3.2,-2.1,1.5,-5.9,-2.7,1
