Date,SWE_ST_mm_interp,z_s_ST_mm_interp,z_s_124b_mm,z_s_125_mm,z_s_jdt4_mm,z_s_jdt3_mm,z_s_jdt2_mm,z_s_jdt1_mm,z_s_jdt4b_mm,z_s_jdt3b_mm,z_s_jdt2b_mm,P_124b_mm,P_125_mm,P_jdt4_mm,P_jdt3_mm,P_jdt2_mm,P_jdt1_mm,P_jdt4b_mm,P_jdt3b_mm,P_jdt2b_mm,rain_124b_mm,rain_125_mm,rain_jdt4_mm,rain_jdt3_mm,rain_jdt2_mm,rain_jdt1_mm,rain_jdt4b_mm,rain_jdt3b_mm,rain_jdt2b_mm,SM__ST_2in,SM_ST_4in,SM_ST_8in,SM_ST_20in,SM_ST_40in,SM_124b_5cm,SM_124b_20cm,SM_124b_50cm,SM_124b_75cm,SM_124b_90cm,SM_jdt4_5cm,SM_jdt4_20cm,SM_jdt4_50cm,SM_jdt4_75cm,SM_jdt4_100cm,SM_jdt3_5cm,SM_jdt3_20cm,SM_jdt3_50cm,SM_jdt3_75cm,SM_jdt3_100cm,SM_jdt2_5cm,SM_jdt2_20cm,SM_jdt2_50cm,SM_jdt2_75cm,SM_jdt2_100cm,SM_jdt1_5cm,SM_jdt1_20cm,SM_jdt1_50cm,SM_jdt1_90cm,SM_jdt1_130cm,SM_jdt1_190cm,SM_jdt4b_5cm,SM_jdt4b_20cm,SM_jdt4b_35cm,SM_jdt4b_50cm,SM_jdt3b_5cm,SM_jdt3b_20cm,SM_jdt3b_35cm,SM_jdt3b_50cm,SM_jdt2b_5cm,SM_jdt2b_20cm,SM_jdt2b_35cm,SM_jdt2b_50cm,SM_jdt2b_75cm,Site Id,CP_ST_in,T_ST_C,RH_ST,es_ST_Pa,ea_ST_Pa,Td_ST_C,f_s_ST,P_ST_in,P_ST_mm,rain_ST_mm,rho,rho_fill,SWE_124b_mm,SWE_125_mm,SWE_jdt4_mm,SWE_jdt3_mm,SWE_jdt2_mm,SWE_jdt1_mm,SWE_jdt4b_mm,SWE_jdt3b_mm,SWE_jdt2b_mm,tau,dSWE_ST_mm_interp,dSWE_124b_mm,dSWE_125_mm,dSWE_jdt4_mm,dSWE_jdt3_mm,dSWE_jdt2_mm,dSWE_jdt1_mm,dSWE_jdt4b_mm,dSWE_jdt3b_mm,dSWE_jdt2b_mm,melt_jdt4_mm,melt_jdt3_mm,melt_jdt2_mm,melt_jdt1_mm,melt_125_mm,melt_124b_mm,melt_ST_mm,melt_jdt4b_mm,melt_jdt3b_mm,melt_jdt2b_mm,inst_melt_jdt4b_mm,inst_melt_jdt3b_mm,inst_melt_jdt2b_mm,SWI_ST_mm,SWI_124b_mm,SWI_125_mm,SWI_jdt4_mm,SWI_jdt3_mm,SWI_jdt2_mm,SWI_jdt1_mm,SWI_jdt4b_mm,SWI_jdt3b_mm,SWI_jdt2b_mm,Ta_ST_max,Ts_ST_max,Ta_124b_max,Ts_124b_max,Ta_jdt4_max,Ts_jdt4_max,Ta_jdt4b_max,Ts_jdt4b_max,Ta_jdt3_max,Ts_jdt3_max,Ta_jdt3b_max,Ts_jdt3b_max,Ta_jdt2_max,Ts_jdt2_max,Ta_jdt2b_max,Ts_jdt2b_max,Ta_jdt1_max,Ts_jdt1_max,Ta_125_max
2013-10-01,1.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.020833333333332,26.162499999999998,12.229166666666666,17.25,12.879166666666668,0.24320833333333333,0.345375,0.14254166666666665,0.259,0.15691666666666668,0.16279166666666667,0.18495833333333334,0.03125,0.03320833333333333,0.034375,0.19508333333333336,0.2014166666666667,0.09808333333333334,0.08808333333333333,0.08679166666666666,0.17931249999999999,0.189125,0.05575,0.04075,0.0266303,0.22804166666666667,0.18541666666666667,0.06691666666666667,0.10641666666666666,0.109,0.13708333333333333,0.19380833333333333,0.20566666666666666,0.23887499999999998,0.08203333333333333,0.18323750000000003,0.16654166666666667,0.10325,0.08325,0.17266666666666666,0.15112499999999998,0.146875,0.14658333333333332,0.13925,2029,0.0,7.1,79.0,1009.0889554747805,79718.02748250766,92.98963244990362,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,10.4,11.3,14.0,11.9,9.8,11.7,18.4,12.4,10.2,12.1,17.85,11.7,9.8,12.3,17.3,13.1,11.5,13.2
2013-10-02,1.3758333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5625,24.879166666666666,12.216666666666667,17.291666666666668,12.845833333333333,0.23233333333333336,0.3356666666666667,0.143,0.25975,0.15562499999999999,0.14845833333333333,0.17320833333333333,0.06958333333333333,0.03404166666666667,0.034583333333333334,0.18291666666666664,0.1935416666666667,0.09800000000000002,0.08800000000000001,0.08620833333333333,0.16591666666666668,0.18270833333333333,0.056,0.041,0.0270084,0.2153125,0.18125,0.0669375,0.10675,0.10775,0.1370625,0.18275833333333333,0.1975416666666667,0.235,0.08184166666666666,0.1749625,0.16770833333333335,0.102375,0.082375,0.16716666666666669,0.15104166666666666,0.14675,0.14495833333333333,0.13975,2029,0.0,5.7,80.0,916.1643084302143,73293.14467441714,90.77257222067105,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-0.5291666666666666,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,10.1,6.2,11.7,6.4,6.6,8.8,16.3,6.5,6.7,6.8,16.15,6.6,6.9,7.9,16.0,8.0,8.6,8.3
2013-10-03,0.8466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.995833333333334,23.895833333333332,12.275,17.245833333333334,12.841666666666667,0.22558333333333333,0.32879166666666665,0.14233333333333334,0.26,0.15566666666666665,0.14195833333333333,0.16583333333333336,0.09749999999999999,0.03404166666666667,0.034875,0.1765,0.18841666666666668,0.09808333333333334,0.08808333333333333,0.086375,0.15929166666666666,0.17820833333333333,0.056375,0.041375,0.027638566666666666,,,,,,,0.17530833333333332,0.19087500000000002,0.23029166666666667,0.08216666666666667,0.16973749999999999,0.16679166666666667,0.10099999999999999,0.081,0.16416666666666666,0.14925,0.14583333333333334,0.1440833333333333,0.13891666666666666,2029,0.0,3.1,79.0,763.4110587549173,60309.47364163847,85.74098740781079,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-0.5291666666666668,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,8.9,3.5,6.2,4.4,4.1,4.2,9.8,4.6,4.8,4.4,9.35,5.0,5.1,4.8,8.9,,,6.2
2013-10-04,1.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.529166666666665,23.125,12.237499999999999,17.204166666666666,12.841666666666667,0.22054166666666666,0.32358333333333333,0.14129166666666668,0.25925000000000004,0.15466666666666665,0.13804166666666667,0.16158333333333333,0.10241666666666666,0.033875,0.034583333333333334,0.1699166666666667,0.18429166666666666,0.09666666666666668,0.08666666666666667,0.08545833333333334,0.15410416666666668,0.17395833333333333,0.055875,0.040875,0.0266303,,,,,,,0.170975,0.186875,0.22595833333333334,0.08184999999999999,0.16465416666666668,0.16545833333333335,0.10049999999999999,0.0805,0.15833333333333333,0.14958333333333332,0.14558333333333331,0.14404166666666665,0.14008333333333334,2029,0.0,1.5,87.0,681.0099103379375,59247.862199400566,85.29034005624298,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0583333333333333,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,9.3,7.5,12.8,7.4,4.6,10.0,17.5,7.6,4.0,7.6,17.4,7.9,3.8,9.1,17.3,,,9.9
2013-10-05,2.7516666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.166666666666668,22.583333333333332,12.333333333333334,17.170833333333334,12.916666666666666,0.21654166666666666,0.3189166666666667,0.140125,0.2577916666666667,0.15508333333333332,0.13416666666666668,0.15687500000000001,0.10283333333333333,0.034833333333333334,0.030333333333333334,0.16520833333333335,0.18020833333333333,0.09741666666666667,0.08741666666666666,0.08375,0.14970833333333333,0.171,0.05429166666666666,0.03929166666666667,0.024424716666666665,,,,,,,0.16341666666666668,0.18333333333333335,0.222625,0.0831,0.15964583333333335,0.16641666666666668,0.10141666666666667,0.08141666666666668,0.155875,0.15112499999999998,0.14525,0.14279166666666668,0.13845833333333335,2029,0.0,3.0,61.0,758.014452668189,46238.881612759535,79.1283365930303,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.8466666666666665,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,9.9,12.0,14.1,11.7,4.8,13.9,18.9,11.7,3.8,11.9,18.75,12.4,4.0,13.4,18.6,,,14.1
2013-10-06,4.1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.841666666666665,22.162499999999998,12.470833333333333,17.158333333333335,12.895833333333334,0.21254166666666666,0.314875,0.14179166666666668,0.2551666666666667,0.15345833333333334,0.13241666666666665,0.15445833333333334,0.10316666666666667,0.035,0.028708333333333336,0.16337500000000002,0.17779166666666665,0.097375,0.087375,0.082875,0.14795833333333333,0.169,0.05483333333333334,0.04041666666666666,0.026189183333333334,,,,,,,0.14918333333333333,0.179625,0.21995833333333334,0.08895833333333332,0.15134166666666668,0.16604166666666667,0.103,0.083,0.1535,0.15458333333333332,0.14666666666666664,0.14295833333333333,0.13795833333333335,2029,0.0,6.6,44.0,974.9906024907082,42899.58650959116,77.31121565070825,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.375833333333334,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,10.7,17.2,16.2,16.8,6.1,18.5,20.7,16.9,5.1,16.6,20.6,16.7,5.0,18.0,20.5,,,18.9
2013-10-07,4.550833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.533333333333335,21.775000000000002,12.649999999999999,17.162499999999998,12.904166666666667,0.20820833333333333,0.312125,0.1420833333333333,0.25504166666666667,0.15366666666666665,0.13054166666666667,0.15125,0.10375,0.033875,0.028458333333333335,0.16375,0.17641666666666667,0.09695833333333333,0.08695833333333332,0.0835,0.14712499999999998,0.16795833333333335,0.060458333333333336,0.04025,0.025899306666666667,,,,,,,0.1363,0.17675,0.2187083333333333,0.095625,0.14467083333333333,0.16304166666666667,0.10316666666666667,0.08316666666666667,0.15304166666666666,0.15695833333333334,0.1475,0.1440833333333333,0.138,2029,0.0,10.6,43.0,1278.6344448492587,54981.28112851812,83.4075796640324,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.4233333333333329,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,10.7,15.9,14.7,16.8,8.0,16.2,17.2,17.1,8.2,17.3,17.7,16.4,7.6,16.9,18.2,,,18.2
2013-10-08,1.4816666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095833333333335,21.320833333333333,12.804166666666667,17.241666666666667,12.845833333333333,0.20441666666666666,0.308,0.140625,0.255,0.15420833333333334,0.12775,0.14920833333333333,0.10270833333333333,0.03308333333333333,0.027958333333333335,0.17016666666666666,0.17608333333333334,0.09549999999999999,0.0855,0.08183333333333333,0.14806249999999999,0.16654166666666667,0.078375,0.040791666666666664,0.026655506666666665,,,,,,,0.12831666666666666,0.17366666666666666,0.21483333333333332,0.10116666666666667,0.13503333333333334,0.15683333333333335,0.10375,0.08374999999999999,0.14175000000000001,0.15695833333333334,0.14862499999999998,0.14466666666666664,0.13916666666666666,2029,0.0,11.4,67.0,1348.4693686655055,90347.44770058886,96.34819678109818,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-3.069166666666667,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,9.7,6.5,12.4,7.3,7.0,6.4,13.7,7.1,7.4,6.9,14.45,6.5,6.7,6.8,15.2,,,8.1
2013-10-09,2.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.712500000000002,20.891666666666666,12.858333333333334,17.258333333333333,12.845833333333333,0.20004166666666667,0.30545833333333333,0.13995833333333332,0.2557916666666667,0.15408333333333332,0.12470833333333332,0.14716666666666667,0.10362500000000001,0.03291666666666667,0.028583333333333332,0.204,0.17475,0.09558333333333334,0.08558333333333333,0.083625,0.1645,0.16429166666666667,0.08950000000000001,0.040916666666666664,0.026983193333333332,,,,,,,0.12200833333333333,0.16979166666666667,0.2117083333333333,0.10320833333333333,0.13062916666666666,0.15479166666666666,0.10229166666666667,0.08229166666666667,0.13925,0.15754166666666666,0.14858333333333332,0.14412499999999998,0.14004166666666668,2029,0.0,3.1,95.0,763.4110587549173,72524.05058171715,90.49634516635417,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.635,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,9.9,8.2,14.4,8.2,5.7,11.1,18.6,8.2,5.4,8.8,18.5,8.8,4.7,10.3,18.4,,,11.1
2013-10-10,3.0691666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.316666666666666,20.4875,12.9,17.258333333333333,12.829166666666667,0.19770833333333335,0.30241666666666667,0.14254166666666665,0.253875,0.15445833333333334,0.123375,0.14470833333333333,0.103875,0.03329166666666667,0.027375,0.20079166666666667,0.1725,0.09595833333333333,0.08595833333333332,0.08295833333333334,0.16208333333333333,0.16316666666666668,0.09233333333333334,0.04125,0.02736129333333333,,,,,,,0.11144166666666666,0.1675,0.20908333333333332,0.105,0.12309583333333333,0.15320833333333334,0.10275000000000001,0.08275,0.13475,0.15787500000000002,0.14833333333333332,0.144875,0.13979166666666668,2029,0.0,3.8,65.0,802.1463475804652,52139.512592730236,82.0839346465072,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.9524999999999997,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,9.3,9.9,12.0,9.3,6.3,10.2,16.7,9.6,6.5,10.6,16.5,9.7,6.2,10.7,16.3,,,11.7
