Site Id,Date,CP_ST_in,T_ST_C,RH_ST
2029,10/1/2013,0,7.1,79
2029,10/2/2013,0,5.7,80
2029,10/3/2013,0,3.1,79
2029,10/4/2013,0,1.5,87
2029,10/5/2013,0,3,61
2029,10/6/2013,0,6.6,44
2029,10/7/2013,0,10.6,43
2029,10/8/2013,0,11.4,67
2029,10/9/2013,0,3.1,95
2029,10/10/2013,0,3.8,65
2029,10/11/2013,0,5,71
2029,10/12/2013,0,4.1,64
2029,10/13/2013,0,5.4,85
2029,10/14/2013,0,3.7,81
2029,10/15/2013,0,3.4,67
2029,10/16/2013,0,4.3,51
2029,10/17/2013,0,6.9,43
2029,10/18/2013,0.1,5.6,68
2029,10/19/2013,0.1,6.2,60
2029,10/20/2013,0.1,10.9,43
2029,10/21/2013,0.1,9.7,65
2029,10/22/2013,0.2,8.8,54
2029,10/23/2013,0.2,9.2,47
2029,10/24/2013,0.2,10.1,42
2029,10/25/2013,0.2,10.6,31
2029,10/26/2013,0.2,11.5,38
2029,10/27/2013,0.2,10.4,34
2029,10/28/2013,0.2,9.7,86
2029,10/29/2013,0.8,0.6,100
2029,10/30/2013,0.8,0.7,86
2029,10/31/2013,0.9,1.2,74
2029,11/1/2013,1,4.6,81
2029,11/2/2013,1,4.7,95
2029,11/3/2013,1.1,4.1,76
2029,11/4/2013,1.2,-2.8,70
2029,11/5/2013,1.4,-3.2,76
2029,11/6/2013,1.5,-0.5,96
2029,11/7/2013,1.5,3.9,94
2029,11/8/2013,1.6,7.4,78
2029,11/9/2013,1.6,1.5,59
2029,11/10/2013,1.6,3.5,57
2029,11/11/2013,1.6,8.5,41
2029,11/12/2013,1.6,9.9,43
2029,11/13/2013,1.6,9.1,70
2029,11/14/2013,1.6,6.6,56
2029,11/15/2013,1.6,3.4,83
2029,11/16/2013,1.8,-1.3,99
2029,11/17/2013,1.9,-0.2,73
2029,11/18/2013,1.9,0.5,49
2029,11/19/2013,1.9,5.9,61
2029,11/20/2013,2.4,3.5,87
2029,11/21/2013,3,-2.4,53
2029,11/22/2013,3,-5.3,41
2029,11/23/2013,3,-2.6,35
2029,11/24/2013,3.1,0,33
2029,11/25/2013,3.1,3.8,26
2029,11/26/2013,3.1,6.5,49
2029,11/27/2013,3.1,3.5,59
2029,11/28/2013,3.1,3.6,56
2029,11/29/2013,3.1,3,64
2029,11/30/2013,3.1,4.2,57
2029,12/1/2013,3.1,3.4,88
2029,12/2/2013,3.1,5.6,42
2029,12/3/2013,3.4,1.3,79
2029,12/4/2013,3.4,-9.2,93
2029,12/5/2013,3.5,-13.5,91
2029,12/6/2013,3.5,-14.3,76
2029,12/7/2013,3.7,-13.5,91
2029,12/8/2013,3.8,-14.1,88
2029,12/9/2013,3.8,-16.3,60
2029,12/10/2013,3.8,-10.4,43
2029,12/11/2013,3.8,-7.6,91
2029,12/12/2013,3.8,-7.9,88
2029,12/13/2013,3.9,-4.2,54
2029,12/14/2013,3.9,-0.8,87
2029,12/15/2013,3.9,1.4,33
2029,12/16/2013,3.9,5.1,46
2029,12/17/2013,3.9,4.9,34
2029,12/18/2013,4,3.8,35
2029,12/19/2013,4,2.5,99
2029,12/20/2013,4,-7.1,55
2029,12/21/2013,4.3,-5.1,97
2029,12/22/2013,4.3,-0.1,86
2029,12/23/2013,4.4,1,78
2029,12/24/2013,4.4,4,100
2029,12/25/2013,4.4,-1.2,37
2029,12/26/2013,4.4,2.1,60
2029,12/27/2013,4.4,3.1,39
2029,12/28/2013,4.4,1.9,49
2029,12/29/2013,4.4,-1.1,79
2029,12/30/2013,4.4,-0.3,39
2029,12/31/2013,4.4,2.7,43
2029,1/1/2014,4.4,3.4,94
2029,1/2/2014,4.4,0.5,89
2029,1/3/2014,4.4,2.6,47
2029,1/4/2014,4.4,1.5,67
2029,1/5/2014,4.4,-5.9,52
2029,1/6/2014,4.4,-2.7,39
2029,1/7/2014,4.4,-2,35
2029,1/8/2014,4.5,0.3,100
2029,1/9/2014,4.7,0.9,74
2029,1/10/2014,4.7,-1.5,77
2029,1/11/2014,4.8,1.6,81
2029,1/12/2014,4.9,3.3,68
2029,1/13/2014,5,-1.9,88
2029,1/14/2014,5,1,78
2029,1/15/2014,5,2.9,37
2029,1/16/2014,5,5.6,26
2029,1/17/2014,5,5.6,20
2029,1/18/2014,5,6.5,28
2029,1/19/2014,5,3.4,41
2029,1/20/2014,5,3.4,39
2029,1/21/2014,5,2.1,51
2029,1/22/2014,5,2.3,34
2029,1/23/2014,5,1.2,77
2029,1/24/2014,5,-2.4,50
2029,1/25/2014,5,0.3,13
2029,1/26/2014,5,3.5,29
2029,1/27/2014,5,4.6,37
2029,1/28/2014,5.1,2.3,43
2029,1/29/2014,5.1,-0.2,87
2029,1/30/2014,5.9,2.7,75
2029,1/31/2014,5.9,-1.6,89
2029,2/1/2014,5.9,-4.2,93
2029,2/2/2014,5.9,-4.7,80
2029,2/3/2014,5.9,-3.2,91
2029,2/4/2014,6.4,-5.7,95
2029,2/5/2014,6.4,-10.1,94
2029,2/6/2014,6.5,-11.5,92
2029,2/7/2014,6.8,-9.9,98
2029,2/8/2014,7.8,-3.9,100
2029,2/9/2014,7.8,1.4,81
2029,2/10/2014,7.8,2,85
2029,2/11/2014,7.8,1.2,70
2029,2/12/2014,7.8,1.9,72
2029,2/13/2014,8.1,3.5,87
2029,2/14/2014,8.2,3.6,81
2029,2/15/2014,8.9,3.3,100
2029,2/16/2014,8.9,4.9,50
2029,2/17/2014,8.9,0,43
2029,2/18/2014,8.9,4.4,76
2029,2/19/2014,8.9,2.7,77
2029,2/20/2014,8.9,-3.5,73
2029,2/21/2014,9.1,-2.1,74
2029,2/22/2014,9.1,0.5,61
2029,2/23/2014,9.1,0.5,66
2029,2/24/2014,9.1,4.3,52
2029,2/25/2014,9.1,5.7,74
2029,2/26/2014,9.1,5.8,98
2029,2/27/2014,9.1,4.7,68
2029,2/28/2014,9.1,3.5,98
