Date,P_mm,SWI_mm,site
2013-10,22.7,12.62,124b
2013-11,61.2,41.76,124b
2013-12,40.3,47.43,124b
2014-01,57.9,90.54,124b
2014-02,144.6,86.27,124b
2014-03,113.3,52.65,124b
2014-04,50.5,21.66,124b
2014-05,24.1,17.57,124b
2014-06,18.4,17.13,124b
2014-07,3.8,3.8,124b
2014-08,34.5,34.5,124b
2014-09,48.1,48.0,124b
2013-10,22.37,15.96,jdt4
2013-11,57.02,50.97,jdt4
2013-12,36.72,47.88,jdt4
2014-01,52.87,121.04,jdt4
2014-02,135.01,152.02,jdt4
2014-03,103.0,76.47,jdt4
2014-04,45.69,20.55,jdt4
2014-05,22.87,17.57,jdt4
2014-06,18.67,17.3,jdt4
2014-07,4.21,4.21,jdt4
2014-08,33.57,33.57,jdt4
2014-09,48.35,48.25,jdt4
2013-10,22.38,13.87,jdt4b
2013-11,57.07,41.15,jdt4b
2013-12,36.76,30.6,jdt4b
2014-01,52.93,26.0,jdt4b
2014-02,135.12,119.77,jdt4b
2014-03,103.12,54.8,jdt4b
2014-04,45.75,20.56,jdt4b
2014-05,22.89,17.57,jdt4b
2014-06,18.67,17.3,jdt4b
2014-07,4.2,4.2,jdt4b
2014-08,33.58,33.58,jdt4b
2014-09,48.34,48.24,jdt4b
2013-10,22.16,14.66,jdt3
2013-11,54.36,56.75,jdt3
2013-12,34.45,65.86,jdt3
2014-01,49.68,142.03,jdt3
2014-02,128.92,159.98,jdt3
2014-03,96.45,55.4,jdt3
2014-04,42.64,19.79,jdt3
2014-05,22.09,17.58,jdt3
2014-06,18.85,17.4,jdt3
2014-07,4.47,4.47,jdt3
2014-08,32.98,32.98,jdt3
2014-09,48.5,48.4,jdt3
2013-10,22.17,16.73,jdt3b
2013-11,54.5,44.65,jdt3b
2013-12,34.57,17.26,jdt3b
2014-01,49.85,24.7,jdt3b
2014-02,129.24,100.64,jdt3b
2014-03,96.8,55.39,jdt3b
2014-04,42.8,19.83,jdt3b
2014-05,22.13,17.58,jdt3b
2014-06,18.84,17.4,jdt3b
2014-07,4.46,4.46,jdt3b
2014-08,33.01,33.01,jdt3b
2014-09,48.49,48.4,jdt3b
2013-10,21.96,15.37,jdt2
2013-11,51.8,32.5,jdt2
2013-12,32.25,28.45,jdt2
2014-01,46.6,63.58,jdt2
2014-02,123.04,101.23,jdt2
2014-03,90.14,55.39,jdt2
2014-04,39.69,19.02,jdt2
2014-05,21.34,17.61,jdt2
2014-06,19.01,17.5,jdt2
2014-07,4.72,4.72,jdt2
2014-08,32.41,32.41,jdt2
2014-09,48.65,48.56,jdt2
2013-10,21.97,15.34,jdt2b
2013-11,51.9,39.96,jdt2b
2013-12,32.34,27.26,jdt2b
2014-01,46.72,23.37,jdt2b
2014-02,123.26,116.95,jdt2b
2014-03,90.38,55.4,jdt2b
2014-04,39.8,19.05,jdt2b
2014-05,21.36,17.61,jdt2b
2014-06,19.01,17.5,jdt2b
2014-07,4.71,4.71,jdt2b
2014-08,32.43,32.43,jdt2b
2014-09,48.65,48.55,jdt2b
2013-10,21.7,16.27,jdt1
2013-11,48.41,66.1,jdt1
2013-12,29.35,61.24,jdt1
2014-01,42.52,130.8,jdt1
2014-02,115.26,155.95,jdt1
2014-03,81.78,54.49,jdt1
2014-04,35.79,17.94,jdt1
2014-05,20.34,17.67,jdt1
2014-06,19.24,17.64,jdt1
2014-07,5.05,5.05,jdt1
2014-08,31.66,31.66,jdt1
2014-09,48.85,48.76,jdt1
2013-10,21.5,16.9,125
2013-11,45.9,32.04,125
2013-12,27.2,13.48,125
2014-01,39.5,20.19,125
2014-02,109.5,89.44,125
2014-03,75.6,53.19,125
2014-04,32.9,17.1,125
2014-05,19.6,17.73,125
2014-06,19.4,17.74,125
2014-07,5.3,5.3,125
2014-08,31.1,31.1,125
2014-09,49.0,48.9,125
