Date,Ta_124b,Ta_124b,Ts_124b,Ts_124b,Ta_jdt4,Ta_jdt4,Ts_jdt4,Ts_jdt4,Ta_jdt4b,Ta_jdt4b,Ts_jdt4b,Ts_jdt4b,Ta_jdt3,Ta_jdt3,Ts_jdt3,Ts_jdt3,Ta_jdt3b,Ta_jdt3b,Ts_jdt3b,Ts_jdt3b,Ta_jdt2,Ta_jdt2,Ts_jdt2,Ts_jdt2,Ta_jdt2b,Ta_jdt2b,Ts_jdt2b,Ts_jdt2b,Ta_jdt1,Ta_jdt1,Ts_jdt1,Ts_jdt1,Ta_125,Ta_125,Ta_ST,Ta_ST,Ts_ST,Ts_ST
,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max
2013-10-01,5.07,17.2,6.79,16.2,7.04,16.8,2.68,9.8,6.63,18.5,11.11,21.9,6.66,17.1,2.35,10.2,6.79,17.3,11.02,21.8,6.97,16.7,2.62,9.8,6.62,18.0,10.92,21.9,6.0,13.1,7.32,11.5,6.14,18.9,6.19,16.7,7.95,10.7
2013-11-01,2.26,15.0,1.71,10.4,3.58,15.9,0.28,4.6,3.36,15.9,5.1,15.4,3.39,16.2,0.41,5.3,3.76,16.2,4.66,14.9,3.57,14.3,0.59,5.6,3.63,15.3,4.22,14.6,3.67,15.1,1.33,6.6,2.7,15.2,2.72,15.6,3.04,6.8
2013-12-01,-2.97,9.4,-0.16,2.3,-2.1,10.8,-0.99,-0.2,-2.19,10.4,1.33,7.6,-2.22,11.3,-0.81,0.1,-1.88,11.2,0.96,6.1,-2.2,9.9,-0.72,0.2,-1.97,10.1,0.59,5.5,-1.97,9.4,-0.65,0.2,-2.77,9.5,-2.72,8.1,0.23,2.7
2014-01-01,0.53,11.4,-0.7,-0.2,1.74,11.1,-1.31,-0.3,1.65,12.0,2.32,10.2,1.58,11.1,-1.64,-0.2,1.92,11.2,1.93,8.85,1.48,9.4,-3.03,-0.3,1.75,10.7,1.55,7.7,1.28,10.5,-1.69,-0.1,0.38,10.9,1.15,10.5,-0.08,0.1
2014-02-01,-0.44,9.5,-0.08,5.4,0.46,10.0,-0.44,-0.3,0.34,11.8,2.52,13.5,0.62,10.2,-0.58,-0.2,0.82,11.1,2.47,12.8,0.83,10.8,-1.02,1.6,1.08,11.3,2.42,12.1,1.49,11.6,-0.39,0.1,1.47,12.2,0.07,10.6,0.35,3.7
2014-03-01,2.51,16.1,4.17,14.0,3.6,17.2,0.01,5.5,3.45,16.5,6.19,16.8,3.66,17.4,0.51,7.0,3.97,17.2,6.2,16.5,3.94,17.3,0.07,6.9,4.18,17.3,6.21,16.2,4.51,18.2,1.96,7.4,4.29,18.5,3.21,16.7,3.49,6.2
2014-04-01,4.92,18.4,8.81,21.3,6.37,19.4,4.88,12.6,5.99,18.6,10.26,22.1,6.31,19.6,5.99,14.4,6.57,19.6,10.32,21.9,6.44,19.6,4.46,13.3,6.57,19.2,10.38,21.7,7.1,20.7,8.46,18.6,6.58,20.4,5.58,19.6,6.19,9.7
2014-05-01,9.88,23.2,15.16,29.8,11.81,23.9,11.68,23.5,11.39,24.2,15.95,28.0,11.51,23.9,12.49,23.7,11.92,24.3,16.06,27.35,11.71,24.0,11.39,21.5,11.9,24.2,16.16,27.5,12.36,25.2,15.75,28.0,11.69,25.4,10.87,23.5,9.89,13.4
2014-06-01,13.06,25.8,20.17,34.9,15.23,26.9,17.54,27.8,14.57,26.2,20.91,32.1,14.71,26.9,17.97,28.3,15.1,26.5,20.74,31.05,14.88,26.7,16.05,25.6,15.1,26.6,20.58,31.4,15.68,28.2,20.59,31.7,14.91,27.9,13.96,26.0,12.41,15.1
2014-07-01,21.12,32.8,25.9,41.1,22.21,30.8,,,23.04,34.0,28.0,41.1,22.99,33.0,23.98,34.9,23.49,33.9,27.36,39.0,23.3,32.8,22.13,32.7,23.37,33.8,26.71,37.4,23.87,34.6,26.82,39.1,22.68,34.5,22.53,33.0,17.2,20.1
2014-08-01,17.62,29.1,22.4,37.4,19.67,31.0,,,19.4,31.7,24.88,38.7,19.27,31.6,19.81,30.7,19.85,31.2,24.85,37.15,19.65,30.9,18.77,28.9,19.71,31.8,24.82,36.5,20.17,32.1,23.01,35.3,19.23,31.2,18.93,30.6,17.76,20.7
2014-09-01,14.42,27.5,18.66,31.7,16.5,29.0,,,16.34,28.9,22.13,32.7,16.08,29.3,13.11,20.1,16.73,28.8,21.95,33.1,16.44,29.3,12.74,20.5,16.59,29.6,21.78,33.8,16.76,29.5,16.19,24.4,15.7,30.0,15.48,27.7,15.41,18.8
