Date,Watershed,Flow (L/s),Flow (CFS),Flow (cm/day)
3/1/1961,S1,0,0,0
3/2/1961,S1,0,0,0
3/3/1961,S1,0,0,0
3/4/1961,S1,0,0,0
3/5/1961,S1,0,0,0
3/6/1961,S1,0,0,0
3/7/1961,S1,0,0,0
3/8/1961,S1,0,0,0
3/9/1961,S1,0,0,0
3/10/1961,S1,0,0,0
3/11/1961,S1,0,0,0
3/12/1961,S1,0,0,0
3/13/1961,S1,0,0,0
3/14/1961,S1,0,0,0
3/15/1961,S1,0,0,0
3/16/1961,S1,0,0,0
3/17/1961,S1,0,0,0
3/18/1961,S1,0,0,0
3/19/1961,S1,0,0,0
3/20/1961,S1,0,0,0
3/21/1961,S1,0,0,0
3/22/1961,S1,0,0,0
3/23/1961,S1,0,0,0
3/24/1961,S1,0,0,0
3/25/1961,S1,0,0,0
3/26/1961,S1,0,0,0
3/27/1961,S1,0,0,0
3/28/1961,S1,0,0,0
3/29/1961,S1,0,0,0
3/30/1961,S1,0,0,0
3/31/1961,S1,0,0,0
4/1/1961,S1,0,0,0
4/2/1961,S1,0,0,0
4/3/1961,S1,0,0,0
4/4/1961,S1,0,0,0
4/5/1961,S1,0,0,0
4/6/1961,S1,0,0,0
4/7/1961,S1,0,0,0
4/8/1961,S1,0,0,0
4/9/1961,S1,0,0,0
4/10/1961,S1,0,0,0
4/11/1961,S1,0,0,0
4/12/1961,S1,0,0,0
4/13/1961,S1,0,0,0
4/14/1961,S1,0,0,0
4/15/1961,S1,0,0,0
4/16/1961,S1,0,0,0
4/17/1961,S1,0,0,0
4/18/1961,S1,0,0,0
4/19/1961,S1,0,0,0
4/20/1961,S1,0,0,0
4/21/1961,S1,0,0,0
4/22/1961,S1,0,0,0
4/23/1961,S1,0,0,0
4/24/1961,S1,0,0,0
4/25/1961,S1,0,0,0
4/26/1961,S1,0,0,0
4/27/1961,S1,0,0,0
4/28/1961,S1,0,0,0
4/29/1961,S1,0,0,0
4/30/1961,S1,0,0,0
5/1/1961,S1,0,0,0
5/2/1961,S1,0,0,0
5/3/1961,S1,0,0,0
5/4/1961,S1,0,0,0
5/5/1961,S1,0,0,0
5/6/1961,S1,0,0,0
5/7/1961,S1,0,0,0
5/8/1961,S1,0,0,0
5/9/1961,S1,0,0,0
5/10/1961,S1,0,0,0
5/11/1961,S1,0,0,0
5/12/1961,S1,0,0,0
5/13/1961,S1,0,0,0
5/14/1961,S1,0,0,0
5/15/1961,S1,0,0,0
5/16/1961,S1,0,0,0
5/17/1961,S1,0,0,0
5/18/1961,S1,0,0,0
5/19/1961,S1,0,0,0
5/20/1961,S1,0,0,0
5/21/1961,S1,0,0,0
5/22/1961,S1,0,0,0
5/23/1961,S1,0,0,0
5/24/1961,S1,0,0,0
5/25/1961,S1,0,0,0
5/26/1961,S1,0,0,0
5/27/1961,S1,0,0,0
5/28/1961,S1,0,0,0
5/29/1961,S1,0,0,0
5/30/1961,S1,0,0,0
5/31/1961,S1,0,0,0
6/1/1961,S1,0,0,0
6/2/1961,S1,0,0,0
6/3/1961,S1,0,0,0
6/4/1961,S1,0,0,0
6/5/1961,S1,0,0,0
6/6/1961,S1,0,0,0
6/7/1961,S1,0,0,0
6/8/1961,S1,0,0,0
6/9/1961,S1,0,0,0
6/10/1961,S1,0,0,0
6/11/1961,S1,0,0,0
6/12/1961,S1,0,0,0
6/13/1961,S1,0,0,0
6/14/1961,S1,0,0,0
6/15/1961,S1,0,0,0
6/16/1961,S1,0,0,0
6/17/1961,S1,0,0,0
6/18/1961,S1,0,0,0
6/19/1961,S1,0,0,0
6/20/1961,S1,0,0,0
6/21/1961,S1,0,0,0
6/22/1961,S1,0,0,0
6/23/1961,S1,0,0,0
6/24/1961,S1,0,0,0
6/25/1961,S1,0,0,0
6/26/1961,S1,0,0,0
6/27/1961,S1,0,0,0
6/28/1961,S1,0,0,0
6/29/1961,S1,0,0,0
6/30/1961,S1,0,0,0
7/1/1961,S1,0,0,0
7/2/1961,S1,0,0,0
7/3/1961,S1,0,0,0
7/4/1961,S1,0,0,0
7/5/1961,S1,0,0,0
7/6/1961,S1,0,0,0
7/7/1961,S1,0,0,0
7/8/1961,S1,0,0,0
7/9/1961,S1,0,0,0
7/10/1961,S1,0,0,0
7/11/1961,S1,0,0,0
7/12/1961,S1,0,0,0
7/13/1961,S1,0,0,0
7/14/1961,S1,0,0,0
7/15/1961,S1,0,0,0
7/16/1961,S1,0,0,0
7/17/1961,S1,0,0,0
7/18/1961,S1,0,0,0
7/19/1961,S1,0,0,0
7/20/1961,S1,0,0,0
7/21/1961,S1,0,0,0
7/22/1961,S1,0,0,0
7/23/1961,S1,0,0,0
7/24/1961,S1,0,0,0
7/25/1961,S1,0,0,0
7/26/1961,S1,0,0,0
7/27/1961,S1,0,0,0
7/28/1961,S1,0,0,0
7/29/1961,S1,0,0,0
7/30/1961,S1,0,0,0
7/31/1961,S1,0,0,0
8/1/1961,S1,0,0,0
8/2/1961,S1,0,0,0
8/3/1961,S1,0,0,0
8/4/1961,S1,0,0,0
8/5/1961,S1,0,0,0
8/6/1961,S1,0,0,0
8/7/1961,S1,0,0,0
8/8/1961,S1,0,0,0
8/9/1961,S1,0,0,0
8/10/1961,S1,0,0,0
8/11/1961,S1,0,0,0
8/12/1961,S1,0,0,0
8/13/1961,S1,0,0,0
8/14/1961,S1,0,0,0
8/15/1961,S1,0,0,0
8/16/1961,S1,0,0,0
8/17/1961,S1,0,0,0
8/18/1961,S1,0,0,0
8/19/1961,S1,0,0,0
8/20/1961,S1,0,0,0
8/21/1961,S1,0,0,0
8/22/1961,S1,0,0,0
8/23/1961,S1,0,0,0
8/24/1961,S1,0,0,0
8/25/1961,S1,0,0,0
8/26/1961,S1,0,0,0
8/27/1961,S1,0,0,0
8/28/1961,S1,0,0,0
8/29/1961,S1,0,0,0
8/30/1961,S1,0,0,0
8/31/1961,S1,0,0,0
9/1/1961,S1,0,0,0
9/2/1961,S1,0,0,0
9/3/1961,S1,0,0,0
9/4/1961,S1,0,0,0
9/5/1961,S1,0,0,0
9/6/1961,S1,0,0,0
9/7/1961,S1,0,0,0
9/8/1961,S1,0,0,0
9/9/1961,S1,0,0,0
9/10/1961,S1,2.86,0.101,0.07443
9/11/1961,S1,4.84784,0.1712,0.12616
9/12/1961,S1,3.70668,0.1309,0.09646
9/13/1961,S1,5.37737,0.1899,0.13994
9/14/1961,S1,5.28959,0.1868,0.13766
9/15/1961,S1,4.28151,0.1512,0.11142
9/16/1961,S1,3.4943,0.1234,0.09094
9/17/1961,S1,3.01008,0.1063,0.07833
9/18/1961,S1,2.66745,0.0942,0.06942
9/19/1961,S1,2.38994,0.0844,0.0622
9/20/1961,S1,2.13509,0.0754,0.05556
9/21/1961,S1,2.55701,0.0903,0.06654
9/22/1961,S1,2.55701,0.0903,0.06654
9/23/1961,S1,2.13509,0.0754,0.05556
9/24/1961,S1,1.8406,0.065,0.0479
9/25/1961,S1,1.6537,0.0584,0.04304
9/26/1961,S1,1.51778,0.0536,0.0395
9/27/1961,S1,1.46398,0.0517,0.0381
9/28/1961,S1,1.22329,0.0432,0.03184
9/29/1961,S1,1.144,0.0404,0.02977
9/30/1961,S1,1.06471,0.0376,0.02771
10/1/1961,S1,0,0,0
10/2/1961,S1,0,0,0
10/3/1961,S1,0,0,0
10/4/1961,S1,0,0,0
10/5/1961,S1,0,0,0
10/6/1961,S1,0,0,0
10/7/1961,S1,0,0,0
10/8/1961,S1,0,0,0
10/9/1961,S1,0,0,0
10/10/1961,S1,0,0,0
10/11/1961,S1,0,0,0
10/12/1961,S1,0,0,0
10/13/1961,S1,0,0,0
10/14/1961,S1,0,0,0
10/15/1961,S1,0,0,0
10/16/1961,S1,0,0,0
10/17/1961,S1,0,0,0
10/18/1961,S1,0,0,0
10/19/1961,S1,0,0,0
10/20/1961,S1,0,0,0
10/21/1961,S1,0,0,0
10/22/1961,S1,0,0,0
10/23/1961,S1,0,0,0
10/24/1961,S1,0,0,0
10/25/1961,S1,0,0,0
10/26/1961,S1,0,0,0
10/27/1961,S1,0,0,0
10/28/1961,S1,0,0,0
10/29/1961,S1,0,0,0
10/30/1961,S1,0,0,0
10/31/1961,S1,0,0,0
11/1/1961,S1,0,0,0
11/2/1961,S1,0,0,0
11/3/1961,S1,0,0,0
11/4/1961,S1,0,0,0
11/5/1961,S1,0,0,0
11/6/1961,S1,0,0,0
11/7/1961,S1,0,0,0
11/8/1961,S1,0,0,0
11/9/1961,S1,0,0,0
11/10/1961,S1,0,0,0
