Sample,Type,Date,Ca_ueq_L,DOC_mg_L,Flow_cfs
W9 stream,mix,3/19/1996 11:50,946.2,1.04,0.27366
W9 stream,mix,3/26/1996 11:40,830.9,2.05,0.53274
W9 stream,mix,3/26/1996 11:40,894.3,1.41,0.53274
W9 stream,mix,4/1/1996 18:30,773.5,2.06,0.80191
W9 stream,mix,4/2/1996 11:05,876.3,1.51,0.57686
W9 stream,mix,4/2/1996 17:10,786,1.51,0.64162
W9 stream,mix,4/5/1996 12:45,828.4,1.27,0.44547
W9 stream,mix,4/9/1996 13:30,853.3,1.43,0.39839
W9 stream,mix,4/9/1996 13:30,1014,1.19,0.39839
W9 stream,mix,4/11/1996 16:23,768.5,1.49,0.68169
W9 stream,mix,4/12/1996 9:45,810.9,1.41,0.55752
W9 stream,mix,4/12/1996 17:59,776,1.5,0.64813
W9 stream,mix,4/14/1996 9:10,820.9,1.33,0.50887
W9 stream,mix,4/14/1996 17:00,875.8,1.42,0.48725
W9 stream,mix,4/15/1996 9:03,860.8,1.38,0.4395
W9 stream,mix,4/15/1996 16:18,768.5,1.59,0.76807
W9 stream,mix,4/16/1996 7:00,751,2.16,0.868
W9 stream,mix,4/16/1996 13:00,696.1,2.49,1.16485
W9 stream,mix,4/16/1996 13:15,812.4,2.11,1.16404
W9 stream,mix,4/16/1996 16:08,643.7,2.24,1.6466
W9 stream,mix,4/16/1996 18:55,608.8,2.63,1.97084
W9 stream,mix,4/16/1996 19:00,631.3,2.89,2.02401
W9 stream,mix,4/17/1996 7:00,703.6,2.54,1.25059
W9 stream,mix,4/17/1996 22:00,723.6,2.28,0.92955
W9 stream,mix,4/18/1996 18:30,748.5,1.97,0.99899
W9 stream,mix,4/19/1996 10:00,763.5,2.44,0.85585
W9 stream,mix,4/19/1996 19:00,681.2,2.75,1.61761
W9 stream,mix,4/20/1996 7:00,698.6,2.22,1.37979
W9 stream,mix,4/20/1996 13:00,648.7,2.35,2.22644
W9 stream,mix,4/20/1996 19:05,586.4,3.1,2.70028
W9 stream,mix,4/21/1996 1:00,546.4,2.75,3.6819
W9 stream,mix,4/21/1996 4:00,466.6,3.08,6.09425
W9 stream,mix,4/21/1996 8:44,514,3.02,3.72541
W9 stream,mix,4/21/1996 11:29,469.1,2.86,5.04623
W9 stream,mix,4/21/1996 13:01,466.6,3.3,5.5898
W9 stream,mix,4/22/1996 10:00,591.3,2.23,2.81114
W9 stream,mix,4/22/1996 16:00,519,2.74,4.65757
W9 stream,mix,4/22/1996 19:00,514,2.75,4.28083
W9 stream,mix,4/22/1996 22:00,516.5,2.6,4.26406
W9 stream,mix,4/23/1996 10:00,536.5,2.37,3.49783
W9 stream,mix,4/23/1996 11:05,646.7,2.4,3.61415
W9 stream,mix,4/23/1996 16:45,489,2.94,6.47548
W9 stream,mix,4/23/1996 18:10,449.1,3.22,7.25822
W9 stream,mix,4/23/1996 19:00,441.6,3.05,6.84566
W9 stream,mix,4/23/1996 20:03,436.6,3.37,7.37493
W9 stream,mix,4/24/1996 1:00,456.6,3.03,5.29293
W9 stream,mix,4/24/1996 11:20,506.5,2.49,3.74589
W9 stream,mix,4/24/1996 19:00,539,3.17,3.24822
W9 stream,mix,4/30/1996 11:55,678.7,1.62,1.54672
W9 stream,mix,5/1/1996 1:00,531.5,3.06,4.37166
W9 stream,mix,5/2/1996 13:00,656.2,2.22,1.70148
W9 stream,mix,5/4/1996 10:29,648.7,2.05,1.54179
W9 stream,mix,5/7/1996 11:25,696.6,1.56,0.88649
W9 stream,mix,5/8/1996 10:45,736.1,1.78,0.8049
W9 stream,mix,5/9/1996 18:14,773.5,1.68,0.72678
BW-34 geomorphic hollow,em1,4/5/1996 13:46,1112.8,0.71,
BW-34 geomorphic hollow,em1,4/15/1996 10:42,1125.3,0.89,
BW-34 geomorphic hollow,em1,4/16/1996 15:05,1112.8,0.56,
BW-34 geomorphic hollow,em1,4/18/1996 11:18,1085.4,1.43,
BW-34 geomorphic hollow,em1,4/21/1996 17:48,1030.5,1.79,
BW-34 geomorphic hollow,em1,4/23/1996 17:20,1003,0.87,
BW-34 geomorphic hollow,em1,4/25/1996 15:40,858.3,0.9,
BW-34 geomorphic hollow,em1,5/9/1996 17:14,918.2,1.01,
Overland flow W9,em2,4/5/1996 15:40,NA,NA,
Overland flow W9,em2,4/5/1996 16:46,NA,NA,
Overland flow W9,em2,4/16/1996 16:30,237,3.49,
Overland flow W9,em2,4/16/1996 16:37,394.2,4.69,
Overland flow W9,em2,4/19/1996 15:00,NA,NA,
Overland flow W9,em2,4/19/1996 16:30,NA,NA,
Overland flow W9,em2,4/19/1996 17:15,NA,NA,
