Sample_Name,Date_Time,Ca.µeq.L,DOC.mg.L
Overland Flow at W-9,4/5/1996 15:40,NA,NA
Overland Flow at W-9,4/5/1996 16:46,NA,NA
Overland Flow at W-9,4/16/1996 16:30,237,3.49
Overland Flow at W-9,4/16/1996 16:37,394.2,4.69
Overland Flow at W-9,4/19/1996 15:00,NA,NA
Overland Flow at W-9,4/19/1996 16:30,NA,NA
Overland Flow at W-9,4/19/1996 17:15,NA,NA
Overland Flow at W-9,4/20/1996 15:07,NA,NA
Overland Flow at W-9,4/21/1996 15:04,NA,NA
Overland Flow at W-9,4/21/1996 16:00,NA,NA
Overland Flow at W-9,4/21/1996 18:35,115.3,2.66
Overland Flow at W-9,4/21/1996 18:50,193.9,2.84
Overland Flow at W-9,4/22/1996 15:22,351.8,3.59
Overland Flow at W-9,4/22/1996 17:15,NA,NA
Overland Flow at W-9,4/22/1996 17:50,NA,NA
Overland Flow at W-9,4/23/1996 15:00,NA,NA
Overland Flow at W-9,4/23/1996 16:03,NA,NA
Overland Flow at W-9,4/23/1996 18:12,149.2,3.49
Overland Flow at W-9,4/23/1996 18:31,222.3,3
Overland Flow at W-9,4/23/1996 18:57,381.8,3.99
Overland Flow at W-9,4/25/1996 14:09,499,3.82
Overland Flow at W-9,4/25/1996 18:07,NA,1.43
Overland Flow at W-9,4/26/1996 18:30,NA,NA
Overland Flow at W-9,4/26/1996 18:36,NA,NA
Overland Flow at W-9,4/26/1996 18:55,NA,NA
Overland Flow at W-9,5/9/1996 13:05,NA,NA
