Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
830,10/1/2014,,0,0,-0.9,5.9,-0.9,2.9,0
830,10/2/2014,,0,0,0.3,7.1,-3.5,1.2,0
830,10/3/2014,,0,0,-0.8,10.6,-0.9,4.1,0
830,10/4/2014,,0,0,1.5,13.6,-1.3,4.8,0
830,10/5/2014,,0,0,3.6,16.3,1.3,7.9,0
830,10/6/2014,,0,0,6.5,17.1,2.4,9.4,0
830,10/7/2014,,0,0,6.1,18,3.9,9.6,0
830,10/8/2014,,0,0,2.4,19,2.4,8.8,0
830,10/9/2014,,0,0,3.2,19.4,2.1,8.9,0
830,10/10/2014,,0,0,0.2,17.2,0.2,7.5,0
830,10/11/2014,,0,0,1.5,13.8,-0.4,5.2,0
830,10/12/2014,,0,0.2,1,13.6,0.7,6.1,0
830,10/13/2014,,0,0.2,-2.3,5.5,-2.6,1.1,0
830,10/14/2014,,0,0.3,5.5,12.1,-2.3,5.8,0
830,10/15/2014,,0,0.3,10.6,13.3,4,9.5,0
830,10/16/2014,,0,0.4,-2.7,10.6,-2.7,2.8,0
830,10/17/2014,,0,0.4,-1.3,6.4,-5,0.3,0
830,10/18/2014,,0,0.4,2.8,13.9,-2.3,5.9,0
830,10/19/2014,,0,0.4,-0.3,14.4,-0.3,4.9,0
830,10/20/2014,,0,0.4,7.1,15.9,-0.6,7.6,0
830,10/21/2014,,0,0.5,5.2,15.6,4.1,9.9,0
830,10/22/2014,,0.3,0.9,-6.4,5.2,-6.4,-0.3,4
830,10/23/2014,,0.5,0.9,1.7,6.6,-6.9,0.1,4
830,10/24/2014,,0.3,1.4,3.4,6.7,1.4,3.5,2
830,10/25/2014,,0,1.6,3.5,10.2,2.5,5.5,0
830,10/26/2014,,0,1.6,1.8,11.7,1.8,7.8,0
830,10/27/2014,,0.5,2.2,-3.2,1.8,-3.5,-1.1,4
830,10/28/2014,,0.4,2.2,-9.4,1.3,-10.6,-4.5,5
830,10/29/2014,,0.4,2.2,3.5,6.6,-9.4,-1,4
830,10/30/2014,,0.5,2.3,1.5,7.6,1.1,4.1,4
830,10/31/2014,,0.5,2.3,5.5,12.6,0.3,6.6,3
830,11/1/2014,,0.5,2.3,8.1,10.5,3.4,6.6,2
830,11/2/2014,,1.2,3.2,-3.1,8.1,-3.2,2.8,9
830,11/3/2014,,1.2,3.2,-7.6,-1.1,-7.6,-3.9,8
830,11/4/2014,,1.2,3.2,-5,1.4,-11.1,-5.7,6
830,11/5/2014,,1.2,3.4,1.3,3.6,-7.6,-0.4,6
830,11/6/2014,,1.2,3.4,-0.8,7.9,-0.9,2.1,6
830,11/7/2014,,1.2,3.4,5.2,8.7,-0.9,3.9,6
830,11/8/2014,,1.3,3.4,-1.3,6.8,-2.9,2.2,6
830,11/9/2014,,1.3,3.4,4.9,9.6,-3,2.7,6
830,11/10/2014,,1.4,3.6,-3.9,10.8,-3.9,4.9,6
830,11/11/2014,,1.6,3.6,-10.8,-1.5,-10.8,-5.4,6
830,11/12/2014,,1.6,3.6,-11.4,-5.5,-14.3,-10.3,6
830,11/13/2014,,1.6,3.6,-15,-9.9,-19.7,-15.2,6
830,11/14/2014,,2.4,4.6,-1.8,-1.1,-15,-6.4,14
830,11/15/2014,,3.5,5.4,-12.5,-0.8,-15,-4.7,20
830,11/16/2014,,3.5,5.4,-20.6,-8.7,-20.9,-15,19
830,11/17/2014,,3.5,5.4,-13.5,-0.2,-21.3,-12.5,19
830,11/18/2014,,3.5,5.4,-10.6,-0.2,-13.5,-8.7,18
830,11/19/2014,,3.5,5.5,-10.1,4.1,-10.6,-5,18
830,11/20/2014,,3.5,5.6,-4.6,4.7,-10.1,-2.9,17
830,11/21/2014,,3.6,5.6,-3.8,2.1,-8.6,-2.7,17
830,11/22/2014,,3.8,5.9,-1.4,1.7,-6.7,-1.6,18
830,11/23/2014,,5.6,7.6,-6.6,0.6,-6.6,-2.4,28
830,11/24/2014,,5.6,7.6,-6.1,-3.5,-7.9,-5.9,27
830,11/25/2014,,5.8,7.7,-3.8,-1.8,-11.4,-5.6,26
830,11/26/2014,,6.8,9,1.3,2,-3.8,0.8,28
830,11/27/2014,,6.9,9,4.5,6.1,0.3,2.7,26
830,11/28/2014,,6.9,9.1,4.1,7.6,1.6,4.6,26
830,11/29/2014,,6.9,9.1,1.1,5.5,1.1,3.5,25
830,11/30/2014,,8.5,10.5,-13.4,1.1,-13.4,-2.6,32
830,12/1/2014,,8.5,10.5,-12.1,-6.6,-20.6,-13.4,31
830,12/2/2014,,9.6,11.5,-0.9,-0.8,-12.1,-3,39
830,12/3/2014,,9.8,11.8,-1.1,1.3,-6.4,-1.8,39
830,12/4/2014,,10.5,12.7,0.6,2.4,-1.5,0.2,45
830,12/5/2014,,11,13.1,0.2,3.2,-3.9,0.3,47
830,12/6/2014,,11,13.1,1,3.3,-6.3,-0.4,45
830,12/7/2014,,11.5,13.6,0.2,1.8,-3.2,0.1,47
