Year,Day,Time,Ta Min [C],Ta Max [C],RH [%],u [m/s],Sin [W/m^2],Sout [W/m^2],Ts [C],Pa [Hg],depth [m],Lat,dec,e2
2006,135,100,2.16,3.233,73.4,0.556,0.073,-0.601,-0.86,30.33,0.895,37.906944,18.583,1.026204
2006,135,200,2.663,3.636,83.6,1.032,0.03,-0.747,-0.408,30.33,0.892,37.906944,18.583,1.026204
2006,135,300,1.825,3.099,89.2,1.003,0.02,-2.386,-0.27,30.33,0.894,37.906944,18.583,1.026204
2006,135,400,1.858,2.596,91.1,0.823,0.028,-1.505,-0.205,30.33,0.892,37.906944,18.583,1.026204
2006,135,500,0.818,2.093,94.3,0.996,0.254,-1.906,-0.944,30.33,0.891,37.906944,18.583,1.026204
2006,135,600,0.852,4.381,80.8,0.602,27.73,45.5,-2.685,30.33,0.884,37.906944,18.583,1.026204
2006,135,700,2.905,6.521,68.26,0.557,114.5,187.4,-1.306,30.34,0.881,37.906944,18.583,1.026204
2006,135,800,6.286,10.6,51.27,0.788,288.3,503.8,-0.46,30.34,0.871,37.906944,18.583,1.026204
2006,135,900,7.33,10.35,47.39,1.293,335.9,622.6,-0.527,30.35,0.866,37.906944,18.583,1.026204
2006,135,1000,9.4,11.28,38.6,1.597,484.3,935,-0.588,30.35,0.859,37.906944,18.583,1.026204
2006,135,1100,10.29,13.74,30.66,1.103,508.2,1004,-0.675,30.35,0.856,37.906944,18.583,1.026204
2006,135,1200,9.01,13.13,40.27,1.488,289.4,564.1,-0.771,30.35,0.841,37.906944,18.583,1.026204
2006,135,1300,9.19,13.38,35.28,1.363,325,636.9,-0.607,30.35,0.851,37.906944,18.583,1.026204
2006,135,1400,9.96,13.91,33.57,1.398,312.6,608.6,-0.677,30.34,0.833,37.906944,18.583,1.026204
2006,135,1500,9.49,14.05,30.79,1.567,392.9,795,-0.759,30.34,0.825,37.906944,18.583,1.026204
2006,135,1600,10.89,13.91,29.85,1.255,353.3,739,-0.844,30.32,0.823,37.906944,18.583,1.026204
2006,135,1700,10.58,14.13,30.05,1.279,296.9,640.2,-0.752,30.32,0.814,37.906944,18.583,1.026204
2006,135,1800,7.6,13.42,44.29,1.031,107.9,155,-0.864,30.32,0.821,37.906944,18.583,1.026204
2006,135,1900,5.648,8.01,58.18,0.926,28.32,52.09,-0.506,30.33,0.826,37.906944,18.583,1.026204
2006,135,2000,3.682,5.85,64.67,0.725,0.507,1.177,-0.397,30.35,0.823,37.906944,18.583,1.026204
2006,135,2100,3.019,4.727,71.2,1.198,-0.179,-3.017,-0.764,30.35,0.825,37.906944,18.583,1.026204
2006,135,2200,1.824,3.356,75,1.039,-0.037,-3.478,-1.56,30.36,0.824,37.906944,18.583,1.026204
2006,135,2300,1.389,2.898,71,1.016,0.272,-3.317,-2.559,30.36,0.819,37.906944,18.583,1.026204
2006,135,2400,1.562,3.475,69.54,1.295,0.312,-3.152,-3.147,30.36,0.819,37.906944,18.583,1.026204
2006,136,100,0.758,2.939,77.1,0.919,-0.289,-3.736,-3.895,30.35,0.82,37.906944,18.833,1.0265626666666667
2006,136,200,0.492,1.535,75.3,0.85,0.126,-3.401,-4.652,30.35,0.82,37.906944,18.833,1.0265626666666667
2006,136,300,0.731,2.375,72.7,1.028,0.276,-3.184,-4.763,30.35,0.826,37.906944,18.833,1.0265626666666667
2006,136,400,-0.107,2.543,79.8,1.221,-0.202,-3.583,-4.846,30.35,0.823,37.906944,18.833,1.0265626666666667
2006,136,500,-0.376,1.067,81.9,1.032,0.38,-2.721,-5.343,30.35,0.83,37.906944,18.833,1.0265626666666667
2006,136,600,-0.141,4.12,66.87,0.741,35.06,51.88,-5.08,30.35,0.811,37.906944,18.833,1.0265626666666667
2006,136,700,4.053,8.57,48.6,0.533,166.8,260.9,-2.207,30.35,0.815,37.906944,18.833,1.0265626666666667
2006,136,800,7.36,11.7,42.84,0.707,277.5,482,-0.642,30.36,0.804,37.906944,18.833,1.0265626666666667
2006,136,900,9.34,11.32,41.48,1.31,376.8,694,-0.713,30.36,0.798,37.906944,18.833,1.0265626666666667
2006,136,1000,7.95,10.29,42.92,2.072,320,609.9,-0.731,30.36,0.807,37.906944,18.833,1.0265626666666667
2006,136,1100,8.89,13.51,28.75,1.647,427.4,839,-0.595,30.36,0.788,37.906944,18.833,1.0265626666666667
2006,136,1200,11.13,13.58,27,1.64,530.4,1069,-0.814,30.36,0.786,37.906944,18.833,1.0265626666666667
2006,136,1300,11.85,14.47,32.53,1.741,558.2,1142,-0.786,30.35,0.777,37.906944,18.833,1.0265626666666667
2006,136,1400,11.95,15.6,25.96,1.318,529.6,1098,-0.78,30.34,0.752,37.906944,18.833,1.0265626666666667
2006,136,1500,12.39,14.4,20.6,1.461,431.7,909,-1.037,30.33,0.743,37.906944,18.833,1.0265626666666667
2006,136,1600,12.86,14.87,15.91,1.329,346.1,745,-1.103,30.32,0.743,37.906944,18.833,1.0265626666666667
2006,136,1700,12.62,14.8,24.55,1.022,234.9,540.3,-1.139,30.31,0.727,37.906944,18.833,1.0265626666666667
2006,136,1800,7.94,13.29,33.81,0.922,59.51,51.31,-1.313,30.31,0.744,37.906944,18.833,1.0265626666666667
2006,136,1900,6.22,8.59,49.27,1.018,10.32,15.18,-1.541,30.3,0.747,37.906944,18.833,1.0265626666666667
