Year,Day,Time,Ta Min [C],Ta Max [C],RH [%],u [m/s],Sin [W/m^2],Sout [W/m^2],Ts [C],Pa [Hg],depth [m],Lat,dec,e2
2006,135,100,1.268,2.272,78.7,1.314,0.03,-1.415,-0.037,30.33,1.33,37.90689,18.583,1.026204
2006,135,200,-0.007,1.369,96.5,2.022,-0.03,-0.973,-0.031,30.33,1.331,37.90689,18.583,1.026204
2006,135,300,-0.107,0.295,97.9,1.683,0.285,-0.986,-0.034,30.33,1.329,37.90689,18.583,1.026204
2006,135,400,-0.51,0.127,100.5,1.226,0.144,-0.294,-0.034,30.33,1.329,37.90689,18.583,1.026204
2006,135,500,-1.147,-0.208,95.6,1.466,0.658,-1.223,-0.033,30.33,1.326,37.90689,18.583,1.026204
2006,135,600,-1.382,1.637,75.4,2.453,34.45,37.44,-0.036,30.33,1.325,37.90689,18.583,1.026204
2006,135,700,1.335,4.892,64.75,2.377,80,93.7,-0.033,30.34,1.315,37.90689,18.583,1.026204
2006,135,800,3.563,10.45,69.15,0.824,165.1,253.1,-0.029,30.34,1.322,37.90689,18.583,1.026204
2006,135,900,3.192,9.32,58.8,1.24,182.6,321.2,-0.027,30.35,1.317,37.90689,18.583,1.026204
2006,135,1000,3.983,7.77,42.91,2.409,200.5,399.8,-0.012,30.35,1.311,37.90689,18.583,1.026204
2006,135,1100,4.72,8.58,51.86,2.314,209.1,442.2,-0.035,30.35,1.308,37.90689,18.583,1.026204
2006,135,1200,5.424,8.84,43.04,2.839,253.9,569,0.004,30.35,1.299,37.90689,18.583,1.026204
2006,135,1300,5.625,10.18,43.85,2.352,200.1,444.5,-0.006,30.35,1.294,37.90689,18.583,1.026204
2006,135,1400,5.525,10.08,37.58,2.656,213.5,474.9,-0.063,30.34,1.276,37.90689,18.583,1.026204
2006,135,1500,6.327,10.45,46.73,2.074,208.9,481.8,-0.035,30.34,1.28,37.90689,18.583,1.026204
2006,135,1600,5.926,9.41,38.59,1.751,160.1,374.7,-0.027,30.32,1.274,37.90689,18.583,1.026204
2006,135,1700,6.027,10.22,41.6,1.948,148.2,340,-0.01,30.32,1.269,37.90689,18.583,1.026204
2006,135,1800,4.452,9.41,51.49,2.333,85.4,213.1,-0.026,30.32,1.278,37.90689,18.583,1.026204
2006,135,1900,2.481,5.29,63.94,2.261,18.64,34.13,-0.033,30.33,1.283,37.90689,18.583,1.026204
2006,135,2000,2.025,3.155,70.4,1.719,1.217,0.876,-0.033,30.35,1.283,37.90689,18.583,1.026204
2006,135,2100,1.69,2.764,65.24,2.393,0.207,-3.06,-0.036,30.35,1.282,37.90689,18.583,1.026204
2006,135,2200,1.189,2.596,66.6,2.454,0.283,-3.704,-0.034,30.36,1.276,37.90689,18.583,1.026204
2006,135,2300,1.167,2.676,60.12,2.815,0.232,-4.131,-0.037,30.36,1.277,37.90689,18.583,1.026204
2006,135,2400,0.899,2.51,64.08,3.81,0.084,-4.214,-0.034,30.36,1.276,37.90689,18.583,1.026204
2006,136,100,1.201,3.382,57.57,3.833,-0.005,-4.307,-0.033,30.35,1.274,37.90689,18.833,1.0265626666666667
2006,136,200,1.335,3.147,63.45,4.025,0.087,-4.14,-0.032,30.35,1.275,37.90689,18.833,1.0265626666666667
2006,136,300,1.067,2.711,64.89,2.856,0.087,-4.48,-0.036,30.35,1.277,37.90689,18.833,1.0265626666666667
2006,136,400,0.463,2.375,63.31,2.862,0.065,-4.419,-0.033,30.35,1.276,37.90689,18.833,1.0265626666666667
2006,136,500,0.161,2.141,64.12,3.571,0.386,-3.889,-0.031,30.35,1.265,37.90689,18.833,1.0265626666666667
2006,136,600,0.631,3.08,60.63,3.388,36.32,36.6,-0.033,30.35,1.272,37.90689,18.833,1.0265626666666667
2006,136,700,2.946,3.682,55.68,3.443,103.4,138.7,-0.03,30.35,1.272,37.90689,18.833,1.0265626666666667
2006,136,800,3.502,5.112,54.4,2.645,159.5,278.8,-0.029,30.36,1.268,37.90689,18.833,1.0265626666666667
2006,136,900,4.53,5.932,53.68,2.703,201.6,394.5,-0.034,30.36,1.268,37.90689,18.833,1.0265626666666667
2006,136,1000,4.926,7.47,44.12,2.827,237.1,502.7,-0.045,30.36,1.264,37.90689,18.833,1.0265626666666667
2006,136,1100,6.195,10.22,44.05,1.822,240.9,530.6,-0.023,30.36,1.252,37.90689,18.833,1.0265626666666667
2006,136,1200,7.5,10.08,30.07,1.938,271.3,622.8,-0.001,30.36,1.24,37.90689,18.833,1.0265626666666667
2006,136,1300,7.17,10.05,40.46,2.504,268.9,625.2,-0.053,30.35,1.243,37.90689,18.833,1.0265626666666667
2006,136,1400,7.57,9.51,34.56,2.897,252,598.4,-0.073,30.34,1.235,37.90689,18.833,1.0265626666666667
2006,136,1500,7.74,9.51,27.35,2.511,212.7,510.2,-0.03,30.33,1.226,37.90689,18.833,1.0265626666666667
2006,136,1600,7.84,9.35,21.19,2.857,174.1,420.4,-0.037,30.32,1.229,37.90689,18.833,1.0265626666666667
2006,136,1700,7.6,9.51,22.59,2.083,126,308.4,-0.024,30.31,1.223,37.90689,18.833,1.0265626666666667
2006,136,1800,6.195,8.51,35.17,3.2,68.47,181.7,-0.03,30.31,1.222,37.90689,18.833,1.0265626666666667
2006,136,1900,5.23,6.638,39.73,3.798,3.25,1.2,-0.029,30.3,1.226,37.90689,18.833,1.0265626666666667
2006,136,2000,3.295,5.938,44.81,2.876,0.736,-3.929,-0.029,30.31,1.226,37.90689,18.833,1.0265626666666667
2006,136,2100,1.59,5.078,44.68,3.356,0.112,-4.789,-0.034,30.31,1.22,37.90689,18.833,1.0265626666666667
2006,136,2200,0.823,3.468,53.48,3.935,0.084,-4.503,-0.034,30.32,1.231,37.90689,18.833,1.0265626666666667
2006,136,2300,0.261,2.711,45.7,4.361,0.055,-4.596,-0.033,30.31,1.221,37.90689,18.833,1.0265626666666667
2006,136,2400,-0.309,3.717,46.44,3.857,0.143,-4.617,-0.031,30.31,1.228,37.90689,18.833,1.0265626666666667
2006,137,100,-0.007,3.416,48.31,4.183,0.052,-4.361,-0.033,30.31,1.23,37.90689,19.083,1.0269213333333334
2006,137,200,-0.074,3.281,49.15,4.436,0.036,-4.422,-0.034,30.31,1.217,37.90689,19.083,1.0269213333333334
2006,137,300,-0.51,1.47,54.29,3.732,0.038,-4.019,-0.033,30.3,1.223,37.90689,19.083,1.0269213333333334
2006,137,400,-0.678,2.744,54.45,3.957,0.034,-4.414,-0.031,30.3,1.225,37.90689,19.083,1.0269213333333334
2006,137,500,-0.98,2.375,57.17,4.316,0.194,-4.078,-0.032,30.3,1.218,37.90689,19.083,1.0269213333333334
2006,137,600,-1.013,1.939,51.43,5.175,37.34,39.16,-0.033,30.31,1.22,37.90689,19.083,1.0269213333333334
2006,137,700,1.839,5.619,37.2,3.912,99.1,131.7,-0.03,30.31,1.218,37.90689,19.083,1.0269213333333334
2006,137,800,5.181,10.65,45.3,1.642,146.8,258.1,-0.027,30.32,1.21,37.90689,19.083,1.0269213333333334
2006,137,900,5.467,6.799,44.15,3.69,178.9,350.9,-0.03,30.33,1.214,37.90689,19.083,1.0269213333333334
2006,137,1000,6.43,8.88,34.93,2.709,217.3,450,-0.036,30.33,1.215,37.90689,19.083,1.0269213333333334
2006,137,1100,6.43,8.17,31.31,2.914,131.9,260.8,-0.017,30.33,1.217,37.90689,19.083,1.0269213333333334
2006,137,1200,7.2,9.21,29.7,2.401,150.7,309.4,-0.043,30.33,1.212,37.90689,19.083,1.0269213333333334
2006,137,1300,8.07,11.26,25.58,2.206,206.1,457.7,-0.013,30.32,1.182,37.90689,19.083,1.0269213333333334
2006,137,1400,8.68,11.02,27.72,2.609,237.2,550.9,-0.069,30.31,1.197,37.90689,19.083,1.0269213333333334
2006,137,1500,8.5,10.41,27.62,3.554,199.6,469.5,-0.072,30.3,1.184,37.90689,19.083,1.0269213333333334
2006,137,1600,8.57,9.68,22.26,4.309,169.3,401,-0.025,30.29,1.188,37.90689,19.083,1.0269213333333334
2006,137,1700,8.51,9.88,24.07,3.012,124,298.3,-0.033,30.28,1.182,37.90689,19.083,1.0269213333333334
2006,137,1800,7.77,9.15,25.98,4.134,67.07,175.2,-0.027,30.27,1.185,37.90689,19.083,1.0269213333333334
2006,137,1900,5.899,8.07,29.04,4.249,3.671,2.556,-0.027,30.27,1.186,37.90689,19.083,1.0269213333333334
2006,137,2000,4.266,6.772,32.63,4.064,0.647,-3.565,-0.028,30.27,1.179,37.90689,19.083,1.0269213333333334
2006,137,2100,3.569,6.35,37.97,4.071,0.035,-4.661,-0.03,30.28,1.184,37.90689,19.083,1.0269213333333334
2006,137,2200,3.133,6.386,44.27,4.331,0.013,-4.445,-0.032,30.29,1.169,37.90689,19.083,1.0269213333333334
2006,137,2300,1.053,5.313,61.51,4.06,0.075,-4.622,-0.033,30.29,1.182,37.90689,19.083,1.0269213333333334
2006,137,2400,0.751,4.617,50.56,3.736,-0.02,-4.239,-0.03,30.29,1.183,37.90689,19.083,1.0269213333333334
2006,138,100,0.127,3.147,51.07,3.093,-0.021,-4.044,-0.034,30.29,1.185,37.90689,19.333,1.02728
2006,138,200,2.107,3.013,49.42,3.52,-0.17,-3.971,-0.034,30.28,1.185,37.90689,19.333,1.02728
2006,138,300,1.604,2.812,51.07,3.373,-0.167,-4.004,-0.033,30.28,1.184,37.90689,19.333,1.02728
2006,138,400,0.933,2.476,49.32,2.543,-0.111,-4.169,-0.03,30.28,1.181,37.90689,19.333,1.02728
2006,138,500,0.798,3.08,49.32,3.525,-0.015,-3.449,-0.032,30.28,1.173,37.90689,19.333,1.02728
2006,138,600,1.939,3.952,43.52,3.302,11.26,12.15,-0.028,30.28,1.179,37.90689,19.333,1.02728
2006,138,700,3.919,7.23,42.46,2.675,82.1,117.8,-0.031,30.29,1.179,37.90689,19.333,1.02728
2006,138,800,4.643,8.49,33.63,2.111,140.9,253.7,-0.028,30.3,1.169,37.90689,19.333,1.02728
2006,138,900,6.933,10.62,33.15,1.862,182.9,361,-0.021,30.3,1.179,37.90689,19.333,1.02728
2006,138,1000,7.23,10.41,34.62,2.067,221,463.9,0.036,30.3,1.165,37.90689,19.333,1.02728
