Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
830,10/1/2016,,0,0,9.8,17.7,5.9,12.1,0
830,10/2/2016,,0,0,1.1,12.7,-2,6.5,0
830,10/3/2016,,0,0,2.7,12,1.1,6.1,0
830,10/4/2016,,0,0,0.3,4.5,-1.1,1.5,0
830,10/5/2016,,0,0.1,-4.7,6.2,-4.7,0.5,0
830,10/6/2016,,0,0.2,-0.2,6.4,-4.8,-0.6,0
830,10/7/2016,,0,0.2,-1.8,4.6,-2.5,0.4,0
830,10/8/2016,,0,0.2,1.8,11.2,-1.8,4.7,0
830,10/9/2016,,0,0.2,4.5,16,0.6,7.1,0
830,10/10/2016,,0,0.2,7.5,16.2,2.8,9,0
830,10/11/2016,,0,0.2,4.6,11,4.2,7.8,0
830,10/12/2016,,0,0.2,-6.1,7.9,-6.1,1.4,0
830,10/13/2016,,0,0.2,-0.1,10.8,-6.3,1.4,0
830,10/14/2016,,0,0.2,8.2,10.2,-0.1,5.5,0
830,10/15/2016,,0,1.1,2.4,9.4,1.4,4.2,0
830,10/16/2016,,0,1.9,3.4,6.5,1.3,3.5,0
830,10/17/2016,,0.4,2.6,0.2,4.8,-0.1,1.7,3
830,10/18/2016,,0.9,3.3,-2.2,1.5,-3.7,-0.8,5
830,10/19/2016,,1.3,3.7,-1.5,2.7,-2.5,-0.4,9
830,10/20/2016,,1.3,3.7,-6.7,6.6,-8.7,-2.1,8
830,10/21/2016,,1.3,3.7,0,8.1,-6.9,1.4,6
830,10/22/2016,,1.3,3.7,3.8,12.7,-2.2,3.7,7
830,10/23/2016,,1.3,3.7,3.2,9.8,0.2,4.2,6
830,10/24/2016,,1.3,3.7,7,12,-1.2,5.6,6
830,10/25/2016,,1.5,4.4,3.2,9,1.1,5.1,3
830,10/26/2016,,1.4,4.6,3.9,6,1.5,3.5,4
830,10/27/2016,,1.3,4.7,6.8,11.6,2.6,6.9,3
830,10/28/2016,,1.2,4.8,4.6,9.6,4.6,7.4,2
830,10/29/2016,,0.8,5,2.8,6.9,2.6,4.6,2
830,10/30/2016,,0.5,5,3.6,7.5,0,4.7,1
830,10/31/2016,,0.3,6.3,-0.2,8.9,-0.2,4.4,1
830,11/1/2016,,0.4,6.5,-0.8,1.7,-2.4,-0.3,1
830,11/2/2016,,0.5,6.6,-5.8,2.8,-6.2,-1.5,3
830,11/3/2016,,0.5,6.6,-2.8,4.9,-7.4,-2.1,2
830,11/4/2016,,0.5,6.6,2.8,10.8,-2.8,3,2
830,11/5/2016,,0.5,6.6,-0.1,11.8,-1.2,3.6,2
830,11/6/2016,,0.5,6.6,3.4,12.1,-0.9,4.5,2
830,11/7/2016,,0.5,6.6,-1.8,6.7,-1.8,2.9,2
830,11/8/2016,,0.5,6.6,0.7,8.7,-2,2,2
830,11/9/2016,,0.5,6.6,3.6,12.3,0.3,5,2
830,11/10/2016,,0.5,6.6,1.3,13.6,1.2,5.7,2
830,11/11/2016,,0.5,6.6,4.7,13.9,0.2,5.5,2
830,11/12/2016,,0.5,6.6,2.7,14.1,2.1,5.8,2
830,11/13/2016,,0.5,6.6,2.8,9.8,-0.6,4.5,2
830,11/14/2016,,0.5,6.6,5.2,8.5,-2.3,3.8,1
830,11/15/2016,,0.5,6.6,5,9.4,2.8,5.6,1
830,11/16/2016,,0.7,6.8,-0.8,5.5,-0.8,3.5,2
830,11/17/2016,,0.7,6.8,-8.7,-0.8,-8.7,-4.2,2
830,11/18/2016,,0.7,6.8,-11.4,-2.6,-11.4,-8.3,2
830,11/19/2016,,0.7,6.8,-0.6,-0.6,-11.7,-5.3,2
830,11/20/2016,,0.7,6.8,2.9,4.8,-1,1.7,2
830,11/21/2016,,0.7,6.8,-1.3,6.4,-1.8,2.6,2
830,11/22/2016,,0.7,6.8,-6.5,2.2,-6.5,-2.7,2
830,11/23/2016,,0.7,6.8,-2.1,1.3,-8.8,-3.7,1
830,11/24/2016,,1.2,7.4,-6.5,-2.1,-7.6,-4.2,8
830,11/25/2016,,1.2,7.5,-4.3,-0.8,-11.8,-5.5,7
830,11/26/2016,,1.3,7.5,-5.5,2.1,-5.5,-1.2,6
830,11/27/2016,,1.4,7.5,-2.5,5,-7,-0.8,6
830,11/28/2016,,1.5,7.6,-6.6,-2.3,-7.8,-4.7,7
830,11/29/2016,,1.9,8.1,-8.5,-4.8,-8.7,-6.7,12
830,11/30/2016,,1.9,8.1,-14.7,-3.8,-15.8,-10.7,10
830,12/1/2016,,2,8.1,-8.3,-2.7,-14.7,-6.9,10
830,12/2/2016,,2,8.2,-16.7,-5.2,-16.7,-8.6,10
830,12/3/2016,,2,8.2,-8,-5.4,-17.6,-11.5,10
830,12/4/2016,,2,8.2,-2.8,-2.8,-8,-4.8,9
830,12/5/2016,,3.1,9.2,-12.4,-1.2,-13.1,-4.2,17
830,12/6/2016,,3.1,9.2,-19.8,-9.4,-21.8,-17.1,16
